0 Intro,1 Verse,2 Chorus,3 Instrumental,4 Bridge,5 End,,,
0.13,0.07,0.00,0.43,0.09,0.29,0.00,5.87,3.00
0.13,0.07,0.00,0.42,0.09,0.29,0.00,5.89,3.00
0.13,0.07,0.00,0.42,0.10,0.29,0.00,5.92,3.00
0.13,0.07,0.00,0.40,0.10,0.30,0.00,5.94,3.00
0.13,0.07,0.00,0.39,0.10,0.31,0.00,5.97,3.00
0.13,0.07,0.00,0.37,0.11,0.31,0.00,5.99,3.00
0.13,0.08,0.00,0.36,0.11,0.31,0.00,6.02,3.00
0.14,0.08,0.00,0.36,0.12,0.31,0.00,6.04,3.00
0.14,0.09,0.00,0.35,0.12,0.30,0.00,6.07,3.00
0.15,0.09,0.00,0.34,0.12,0.30,0.00,6.09,3.00
0.15,0.09,0.00,0.34,0.12,0.30,0.00,6.12,3.00
0.15,0.09,0.00,0.34,0.12,0.30,0.00,6.14,3.00
0.16,0.09,0.00,0.33,0.12,0.30,0.00,6.17,3.00
0.16,0.09,0.00,0.33,0.12,0.30,0.00,6.19,3.00
0.16,0.09,0.00,0.32,0.12,0.30,0.00,6.22,3.00
0.17,0.09,0.00,0.32,0.12,0.30,0.00,6.24,3.00
0.17,0.09,0.00,0.31,0.12,0.30,0.00,6.27,3.00
0.17,0.09,0.00,0.31,0.12,0.30,0.00,6.29,3.00
0.17,0.09,0.00,0.31,0.12,0.31,0.00,6.32,3.00
0.17,0.09,0.00,0.31,0.12,0.31,0.00,6.34,3.00
0.17,0.09,0.00,0.31,0.12,0.31,0.00,6.37,3.00
0.17,0.09,0.00,0.31,0.12,0.31,0.00,6.39,3.00
0.17,0.09,0.00,0.32,0.12,0.31,0.00,6.42,3.00
0.17,0.08,0.00,0.32,0.12,0.31,0.00,6.44,3.00
0.17,0.08,0.00,0.32,0.12,0.31,0.00,6.47,3.00
0.17,0.08,0.00,0.32,0.12,0.31,0.00,6.49,3.00
0.17,0.08,0.00,0.32,0.12,0.31,0.00,6.52,3.00
0.17,0.08,0.00,0.32,0.11,0.31,0.00,6.54,3.00
0.17,0.08,0.00,0.33,0.11,0.31,0.00,6.57,3.00
0.17,0.08,0.00,0.33,0.11,0.31,0.00,6.59,3.00
0.17,0.08,0.00,0.33,0.11,0.31,0.00,6.62,3.00
0.17,0.07,0.00,0.33,0.11,0.31,0.00,6.64,3.00
0.17,0.07,0.00,0.34,0.11,0.31,0.00,6.67,3.00
0.17,0.07,0.00,0.34,0.11,0.31,0.00,6.69,3.00
0.17,0.07,0.00,0.34,0.11,0.31,0.00,6.72,3.00
0.17,0.07,0.00,0.35,0.10,0.31,0.00,6.74,3.00
0.17,0.07,0.00,0.35,0.10,0.31,0.00,6.77,3.00
0.17,0.06,0.00,0.35,0.10,0.31,0.00,6.79,3.00
0.17,0.06,0.00,0.36,0.10,0.31,0.00,6.82,3.00
0.17,0.06,0.00,0.37,0.10,0.30,0.00,6.84,3.00
0.16,0.06,0.00,0.38,0.10,0.30,0.00,6.87,3.00
0.16,0.06,0.00,0.38,0.09,0.30,0.00,6.89,3.00
0.16,0.05,0.00,0.39,0.09,0.31,0.00,6.92,3.00
0.16,0.05,0.00,0.38,0.09,0.31,0.00,6.94,3.00
0.16,0.05,0.00,0.38,0.09,0.32,0.00,6.97,3.00
0.16,0.05,0.00,0.39,0.09,0.31,0.00,6.99,3.00
0.16,0.05,0.00,0.39,0.09,0.31,0.00,7.02,3.00
0.15,0.05,0.00,0.40,0.09,0.31,0.00,7.04,3.00
0.15,0.05,0.00,0.41,0.09,0.31,0.00,7.07,3.00
0.15,0.05,0.00,0.41,0.09,0.31,0.00,7.09,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,7.12,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,7.14,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,7.17,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,7.19,3.00
0.15,0.05,0.00,0.41,0.08,0.31,0.00,7.22,3.00
0.15,0.05,0.00,0.42,0.08,0.31,0.00,7.24,3.00
0.14,0.05,0.00,0.42,0.08,0.31,0.00,7.27,3.00
0.14,0.05,0.00,0.42,0.08,0.31,0.00,7.29,3.00
0.14,0.05,0.00,0.43,0.08,0.31,0.00,7.32,3.00
0.14,0.04,0.00,0.43,0.08,0.31,0.00,7.34,3.00
0.14,0.04,0.00,0.43,0.08,0.31,0.00,7.37,3.00
0.14,0.04,0.00,0.42,0.08,0.31,0.00,7.39,3.00
0.14,0.04,0.00,0.42,0.07,0.31,0.00,7.42,3.00
0.14,0.04,0.00,0.43,0.07,0.31,0.00,7.44,3.00
0.14,0.04,0.00,0.43,0.07,0.31,0.00,7.47,3.00
0.14,0.04,0.00,0.44,0.07,0.31,0.00,7.49,3.00
0.14,0.04,0.00,0.45,0.07,0.30,0.00,7.52,3.00
0.14,0.04,0.00,0.46,0.07,0.30,0.00,7.54,3.00
0.13,0.04,0.00,0.46,0.07,0.30,0.00,7.57,3.00
0.13,0.04,0.00,0.46,0.07,0.30,0.00,7.59,3.00
0.13,0.04,0.00,0.45,0.07,0.31,0.00,7.62,3.00
0.13,0.04,0.00,0.45,0.07,0.32,0.00,7.64,3.00
0.14,0.04,0.00,0.45,0.07,0.31,0.00,7.67,3.00
0.14,0.04,0.00,0.45,0.07,0.31,0.00,7.69,3.00
0.13,0.04,0.00,0.46,0.07,0.30,0.00,7.72,3.00
0.13,0.04,0.00,0.47,0.07,0.30,0.00,7.74,3.00
0.13,0.04,0.00,0.48,0.07,0.29,0.00,7.77,3.00
0.12,0.03,0.00,0.50,0.06,0.28,0.00,7.79,3.00
0.12,0.03,0.00,0.51,0.06,0.28,0.00,7.82,3.00
0.11,0.03,0.00,0.52,0.06,0.28,0.00,7.84,3.00
0.11,0.03,0.00,0.51,0.06,0.29,0.00,7.87,3.00
0.11,0.03,0.00,0.49,0.06,0.31,0.00,7.89,3.00
0.11,0.03,0.00,0.48,0.06,0.32,0.00,7.92,3.00
0.11,0.03,0.00,0.47,0.06,0.32,0.00,7.94,3.00
0.11,0.04,0.00,0.48,0.06,0.31,0.00,7.97,3.00
0.11,0.04,0.00,0.48,0.07,0.30,0.00,7.99,3.00
0.11,0.04,0.00,0.48,0.07,0.30,0.00,8.02,3.00
0.11,0.04,0.00,0.48,0.07,0.30,0.00,8.04,3.00
0.11,0.05,0.00,0.48,0.07,0.30,0.00,8.07,3.00
0.11,0.05,0.00,0.47,0.07,0.30,0.00,8.09,3.00
0.11,0.05,0.00,0.47,0.07,0.30,0.00,8.12,3.00
0.11,0.05,0.00,0.46,0.08,0.30,0.00,8.14,3.00
0.12,0.05,0.00,0.45,0.08,0.31,0.00,8.17,3.00
0.12,0.05,0.00,0.44,0.08,0.31,0.00,8.19,3.00
0.12,0.05,0.00,0.43,0.08,0.31,0.00,8.22,3.00
